Representativt dygn;Lufttemperatur;R2;K;M
2025-01-01;2.992063492063492;0.21339231063146114;[0.22679256];-3.3581280788177335
2025-01-02;1.9452380952380954;0.09148601819420787;[0.17824302];-3.0455665024630543
2025-01-03;0.046031746031745424;0.03501864041857694;[0.11819923];-3.2635467980295565
2025-01-04;-1.157142857142857;0.0016318160183969033;[0.02536946];-1.8674876847290645
2025-01-05;-3.708730158730159;0.01283600896204995;[-0.0742474];-1.6298029556650244
2025-01-06;-4.608730158730159;0.04202078884718807;[-0.13557745];-0.8125615763546796
2025-01-07;-2.765873015873016;0.03741440425672116;[-0.11291735];0.39581280788177353
2025-01-08;-0.43253968253968283;0.0003348339027315905;[-0.0106185];-0.13522167487684716
2025-01-09;0.2706349206349207;0.00424960384036055;[0.0334428];-0.6657635467980295
2025-01-10;0.3841269841269839;0.028601156784696324;[0.07624521];-1.7507389162561575
2025-01-11;0.8539682539682536;0.00644601002091072;[0.03598796];-0.15369458128078778
2025-01-12;0.6928571428571426;0.0016129926558428043;[0.01970443];0.1411330049261087
2025-01-13;-0.5626984126984125;0.01004173073797121;[-0.0528462];0.9169950738916255
2025-01-14;-1.8039682539682547;0.02544902871002952;[-0.08426382];0.5554187192118233
2025-01-15;-3.11984126984127;0.07873244890045272;[-0.15506294];1.2219211822660099
2025-01-16;-2.8801587301587306;0.09987150145749124;[-0.18508484];2.3022167487684726
2025-01-17;-1.7880952380952377;0.06653077211464464;[-0.11789819];1.5130541871921184
2025-01-18;-1.71984126984127;0.05398905160984724;[-0.10358511];1.1805418719211822
2025-01-19;-2.9674603174603176;0.06858970258134311;[-0.14701697];1.1490147783251234
2025-01-20;-2.3309523809523807;0.02211689949545237;[-0.06789819];-0.4298029556650246
2025-01-21;-1.407142857142857;0.0001663349980778328;[0.00665025];-1.5933497536945815
2025-01-22;-1.576190476190476;0.00723701138407884;[0.04720854];-2.898029556650246
2025-01-23;-1.0317460317460316;0.01976927659502803;[0.06406678];-2.8256157635467973
2025-01-24;0.7103174603174605;0.07674103782774622;[0.1258347];-2.813054187192118
