﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-10-01 00:00:00;2026-01-01 07:20:13;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2025-01-01 00:00:01;2025-01-02 00:00:00;2025-01-01;-0.8;Y
2025-01-02 00:00:01;2025-01-03 00:00:00;2025-01-02;-5.6;Y
2025-01-03 00:00:01;2025-01-04 00:00:00;2025-01-03;-7.9;Y
2025-01-04 00:00:01;2025-01-05 00:00:00;2025-01-04;-5.9;Y
2025-01-05 00:00:01;2025-01-06 00:00:00;2025-01-05;-7.2;Y
2025-01-06 00:00:01;2025-01-07 00:00:00;2025-01-06;-1.4;Y
2025-01-07 00:00:01;2025-01-08 00:00:00;2025-01-07;3.0;Y
2025-01-08 00:00:01;2025-01-09 00:00:00;2025-01-08;2.2;Y
2025-01-09 00:00:01;2025-01-10 00:00:00;2025-01-09;-0.0;Y
2025-01-10 00:00:01;2025-01-11 00:00:00;2025-01-10;-0.8;Y
2025-01-11 00:00:01;2025-01-12 00:00:00;2025-01-11;-1.2;Y
2025-01-12 00:00:01;2025-01-13 00:00:00;2025-01-12;-2.8;Y
2025-01-13 00:00:01;2025-01-14 00:00:00;2025-01-13;0.1;Y
2025-01-14 00:00:01;2025-01-15 00:00:00;2025-01-14;4.8;Y
2025-01-15 00:00:01;2025-01-16 00:00:00;2025-01-15;2.1;Y
2025-01-16 00:00:01;2025-01-17 00:00:00;2025-01-16;5.8;Y
2025-01-17 00:00:01;2025-01-18 00:00:00;2025-01-17;5.6;Y
2025-01-18 00:00:01;2025-01-19 00:00:00;2025-01-18;4.2;Y
2025-01-19 00:00:01;2025-01-20 00:00:00;2025-01-19;3.6;Y
2025-01-20 00:00:01;2025-01-21 00:00:00;2025-01-20;0.7;Y
2025-01-21 00:00:01;2025-01-22 00:00:00;2025-01-21;2.6;Y
2025-01-22 00:00:01;2025-01-23 00:00:00;2025-01-22;2.5;Y
2025-01-23 00:00:01;2025-01-24 00:00:00;2025-01-23;2.5;Y
2025-01-24 00:00:01;2025-01-25 00:00:00;2025-01-24;3.1;Y
2025-01-25 00:00:01;2025-01-26 00:00:00;2025-01-25;4.8;Y
2025-01-26 00:00:01;2025-01-27 00:00:00;2025-01-26;3.2;Y
2025-01-27 00:00:01;2025-01-28 00:00:00;2025-01-27;0.1;Y
2025-01-28 00:00:01;2025-01-29 00:00:00;2025-01-28;3.0;Y
2025-01-29 00:00:01;2025-01-30 00:00:00;2025-01-29;3.8;Y
2025-01-30 00:00:01;2025-01-31 00:00:00;2025-01-30;1.6;Y
2025-01-31 00:00:01;2025-02-01 00:00:00;2025-01-31;1.6;Y
2025-02-01 00:00:01;2025-02-02 00:00:00;2025-02-01;-0.5;Y
2025-02-02 00:00:01;2025-02-03 00:00:00;2025-02-02;-2.1;Y
2025-02-03 00:00:01;2025-02-04 00:00:00;2025-02-03;-1.7;Y
2025-02-04 00:00:01;2025-02-05 00:00:00;2025-02-04;0.0;Y
2025-02-05 00:00:01;2025-02-06 00:00:00;2025-02-05;4.0;Y
2025-02-06 00:00:01;2025-02-07 00:00:00;2025-02-06;2.0;Y
2025-02-07 00:00:01;2025-02-08 00:00:00;2025-02-07;0.7;Y
2025-02-08 00:00:01;2025-02-09 00:00:00;2025-02-08;0.9;Y
2025-02-09 00:00:01;2025-02-10 00:00:00;2025-02-09;0.1;Y
2025-02-10 00:00:01;2025-02-11 00:00:00;2025-02-10;-1.1;Y
2025-02-11 00:00:01;2025-02-12 00:00:00;2025-02-11;-1.8;Y
2025-02-12 00:00:01;2025-02-13 00:00:00;2025-02-12;-1.7;Y
2025-02-13 00:00:01;2025-02-14 00:00:00;2025-02-13;-1.9;Y
2025-02-14 00:00:01;2025-02-15 00:00:00;2025-02-14;-3.2;Y
2025-02-15 00:00:01;2025-02-16 00:00:00;2025-02-15;-5.5;Y
2025-02-16 00:00:01;2025-02-17 00:00:00;2025-02-16;-6.7;Y
2025-02-17 00:00:01;2025-02-18 00:00:00;2025-02-17;-2.9;Y
2025-02-18 00:00:01;2025-02-19 00:00:00;2025-02-18;-3.2;Y
2025-02-19 00:00:01;2025-02-20 00:00:00;2025-02-19;-2.5;Y
2025-02-20 00:00:01;2025-02-21 00:00:00;2025-02-20;-1.5;Y
2025-02-21 00:00:01;2025-02-22 00:00:00;2025-02-21;1.3;Y
2025-02-22 00:00:01;2025-02-23 00:00:00;2025-02-22;3.3;Y
2025-02-23 00:00:01;2025-02-24 00:00:00;2025-02-23;4.4;Y
2025-02-24 00:00:01;2025-02-25 00:00:00;2025-02-24;2.8;Y
2025-02-25 00:00:01;2025-02-26 00:00:00;2025-02-25;4.8;Y
2025-02-26 00:00:01;2025-02-27 00:00:00;2025-02-26;4.3;Y
2025-02-27 00:00:01;2025-02-28 00:00:00;2025-02-27;3.0;Y
2025-02-28 00:00:01;2025-03-01 00:00:00;2025-02-28;1.3;Y
2025-03-01 00:00:01;2025-03-02 00:00:00;2025-03-01;-0.4;Y
2025-03-02 00:00:01;2025-03-03 00:00:00;2025-03-02;4.2;Y
2025-03-03 00:00:01;2025-03-04 00:00:00;2025-03-03;6.2;Y
2025-03-04 00:00:01;2025-03-05 00:00:00;2025-03-04;7.4;Y
2025-03-05 00:00:01;2025-03-06 00:00:00;2025-03-05;8.3;Y
2025-03-06 00:00:01;2025-03-07 00:00:00;2025-03-06;10.1;Y
2025-03-07 00:00:01;2025-03-08 00:00:00;2025-03-07;8.8;Y
2025-03-08 00:00:01;2025-03-09 00:00:00;2025-03-08;8.7;Y
2025-03-09 00:00:01;2025-03-10 00:00:00;2025-03-09;6.6;Y
2025-03-10 00:00:01;2025-03-11 00:00:00;2025-03-10;2.8;Y
2025-03-11 00:00:01;2025-03-12 00:00:00;2025-03-11;0.8;Y
2025-03-12 00:00:01;2025-03-13 00:00:00;2025-03-12;0.0;Y
2025-03-13 00:00:01;2025-03-14 00:00:00;2025-03-13;-1.4;Y
2025-03-14 00:00:01;2025-03-15 00:00:00;2025-03-14;-0.0;Y
2025-03-15 00:00:01;2025-03-16 00:00:00;2025-03-15;2.4;Y
2025-03-16 00:00:01;2025-03-17 00:00:00;2025-03-16;0.9;Y
2025-03-17 00:00:01;2025-03-18 00:00:00;2025-03-17;0.8;Y
2025-03-18 00:00:01;2025-03-19 00:00:00;2025-03-18;7.0;Y
