Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-10-01 00:00:00;2026-01-09 06:20:20;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2025-09-01 00:00:01;2025-09-02 00:00:00;2025-09-01;15.6;Y;;Data från senaste fyra månaderna
2025-09-02 00:00:01;2025-09-03 00:00:00;2025-09-02;17.7;Y;;Tidsperiod (fr.o.m.) = 2025-09-01 00:00:01 (UTC)
2025-09-03 00:00:01;2025-09-04 00:00:00;2025-09-03;18.1;Y;;Tidsperiod (t.o.m.) = 2026-01-09 06:00:00 (UTC)
2025-09-04 00:00:01;2025-09-05 00:00:00;2025-09-04;19.1;Y;;Medelvärdet är beräknat för = 24 timmar
2025-09-05 00:00:01;2025-09-06 00:00:00;2025-09-05;20.1;Y;;Kvalitetskoderna:
2025-09-06 00:00:01;2025-09-07 00:00:00;2025-09-06;18.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2025-09-07 00:00:01;2025-09-08 00:00:00;2025-09-07;18.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2025-09-08 00:00:01;2025-09-09 00:00:00;2025-09-08;17.8;Y;;Nätinformation:
2025-09-09 00:00:01;2025-09-10 00:00:00;2025-09-09;18.6;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2025-09-10 00:00:01;2025-09-11 00:00:00;2025-09-10;17.8;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2025-09-11 00:00:01;2025-09-12 00:00:00;2025-09-11;17.4;Y;;Möjliga orsaker till saknade data:
2025-09-12 00:00:01;2025-09-13 00:00:00;2025-09-12;17.3;Y;;– stationen eller givaren har varit ur funktion.
2025-09-13 00:00:01;2025-09-14 00:00:00;2025-09-13;15.7;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2025-09-14 00:00:01;2025-09-15 00:00:00;2025-09-14;15.8;Y
2025-09-15 00:00:01;2025-09-16 00:00:00;2025-09-15;14.4;Y
2025-09-16 00:00:01;2025-09-17 00:00:00;2025-09-16;14.9;Y
2025-09-17 00:00:01;2025-09-18 00:00:00;2025-09-17;14.4;Y
2025-09-18 00:00:01;2025-09-19 00:00:00;2025-09-18;14.1;Y
2025-09-19 00:00:01;2025-09-20 00:00:00;2025-09-19;15.6;Y
2025-09-20 00:00:01;2025-09-21 00:00:00;2025-09-20;17.7;Y
2025-09-21 00:00:01;2025-09-22 00:00:00;2025-09-21;16.9;Y
2025-09-22 00:00:01;2025-09-23 00:00:00;2025-09-22;12.2;Y
2025-09-23 00:00:01;2025-09-24 00:00:00;2025-09-23;9.3;Y
2025-09-24 00:00:01;2025-09-25 00:00:00;2025-09-24;10.4;Y
2025-09-25 00:00:01;2025-09-26 00:00:00;2025-09-25;12.2;Y
2025-09-26 00:00:01;2025-09-27 00:00:00;2025-09-26;12.9;Y
2025-09-27 00:00:01;2025-09-28 00:00:00;2025-09-27;12.0;Y
2025-09-28 00:00:01;2025-09-29 00:00:00;2025-09-28;11.8;Y
2025-09-29 00:00:01;2025-09-30 00:00:00;2025-09-29;11.4;Y
2025-09-30 00:00:01;2025-10-01 00:00:00;2025-09-30;9.8;Y

2026-01-01 00:00:01;2026-01-02 00:00:00;2026-01-01;-0.2;Y
2026-01-02 00:00:01;2026-01-03 00:00:00;2026-01-02;-1.2;Y
2026-01-03 00:00:01;2026-01-04 00:00:00;2026-01-03;-2.2;Y
2026-01-04 00:00:01;2026-01-05 00:00:00;2026-01-04;-4.9;Y
2026-01-05 00:00:01;2026-01-06 00:00:00;2026-01-05;-5.9;Y
2026-01-06 00:00:01;2026-01-07 00:00:00;2026-01-06;-0.5;Y
2026-01-07 00:00:01;2026-01-08 00:00:00;2026-01-07;-4.6;Y
2026-01-08 00:00:01;2026-01-09 00:00:00;2026-01-08;-0.0;Y
